score	readID	taxID
0	NB501013:67:HNG37BGX5:3:21512:10338:10330	0
0	NB501013:67:HNG37BGX5:3:22407:26563:12641	0
464	NB501013:67:HNG37BGX5:4:22607:5626:8893	515620
1764	NB501013:67:HNG37BGX5:2:21105:5121:11459	77133
484	NB501013:67:HNG37BGX5:4:11506:9400:5138	1678
18225	NB501013:67:HNG37BGX5:2:12104:18359:5938	823
3797	NB501013:67:HNG37BGX5:1:21312:15895:6737	214856
18496	NB501013:67:HNG37BGX5:1:21307:9232:8067	214856
18496	NB501013:67:HNG37BGX5:1:21307:11064:14662	816
2125	NB501013:67:HNG37BGX5:2:11104:6897:18882	214856
18225	NB501013:67:HNG37BGX5:1:11205:15099:12047	28025
14161	NB501013:67:HNG37BGX5:1:22203:15339:8454	817
400	NB501013:67:HNG37BGX5:1:12209:7924:10225	435591
15376	NB501013:67:HNG37BGX5:2:23305:24299:2798	2
4804	NB501013:67:HNG37BGX5:2:12206:14992:9521	171549
4545	NB501013:67:HNG37BGX5:2:13104:16361:9557	214856
12402	NB501013:67:HNG37BGX5:3:11602:21710:6508	214856
0	NB501013:67:HNG37BGX5:2:13209:23436:13951	0
9385	NB501013:67:HNG37BGX5:2:22204:16463:4627	214856
3557	NB501013:67:HNG37BGX5:3:13608:7743:15191	214856
18496	NB501013:67:HNG37BGX5:3:22402:9285:18384	214856
1849	NB501013:67:HNG37BGX5:3:22408:15379:18523	77133
18496	NB501013:67:HNG37BGX5:4:13510:22292:12849	214856
5338	NB501013:67:HNG37BGX5:3:13508:25771:5295	240495
0	NB501013:67:HNG37BGX5:4:11501:7085:4912	0
18496	NB501013:67:HNG37BGX5:4:21601:6772:8726	214856
18496	NB501013:67:HNG37BGX5:4:21504:18491:6171	77133
0	NB501013:67:HNG37BGX5:4:21604:17509:19471	0
2664	NB501013:67:HNG37BGX5:4:11603:17900:16827	817
900	NB501013:67:HNG37BGX5:4:23407:26343:1638	39485
0	NB501013:67:HNG37BGX5:3:13512:21447:2937	0
0	NB501013:67:HNG37BGX5:4:23509:19355:11881	0
10816	NB501013:67:HNG37BGX5:1:13112:8504:18377	823
2164	NB501013:67:HNG37BGX5:3:21604:25236:3571	823
0	NB501013:67:HNG37BGX5:3:11406:21687:15903	0
16042	NB501013:67:HNG37BGX5:1:22207:24631:18387	214856
28145	NB501013:67:HNG37BGX5:1:21206:19479:17638	226186
76729	NB501013:67:HNG37BGX5:1:22203:2479:9370	155900
0	NB501013:67:HNG37BGX5:1:22102:7755:6343	0
23104	NB501013:67:HNG37BGX5:4:13601:4869:15970	679935
29929	NB501013:67:HNG37BGX5:4:12609:17931:16492	28116
76176	NB501013:67:HNG37BGX5:2:13203:2804:11075	2
0	NB501013:67:HNG37BGX5:1:12205:7155:8986	0
1296	NB501013:67:HNG37BGX5:3:11505:3007:15126	166486
34969	NB501013:67:HNG37BGX5:1:12211:19371:4485	29466
0	NB501013:67:HNG37BGX5:4:11403:7912:4567	0
11281	NB501013:67:HNG37BGX5:4:13505:5359:5266	155900
74529	NB501013:67:HNG37BGX5:2:12111:10692:19027	292800
75625	NB501013:67:HNG37BGX5:2:11310:11958:1336	1
13924	NB501013:67:HNG37BGX5:2:13201:19046:17421	657322
0	NB501013:67:HNG37BGX5:3:22501:20181:12768	0
38025	NB501013:67:HNG37BGX5:2:23202:16819:16820	1
32420	NB501013:67:HNG37BGX5:3:22411:17180:5132	29466
32968	NB501013:67:HNG37BGX5:3:22503:5539:7561	2
74529	NB501013:67:HNG37BGX5:4:12609:22287:19480	77133
73441	NB501013:67:HNG37BGX5:1:23310:8728:4790	328814
70756	NB501013:67:HNG37BGX5:4:21502:19903:11598	1
