,EC,Superpathway
273,ec:1.1.1.21,Carbohydrate metabolism
274,ec:1.1.1.251,Carbohydrate metabolism
275,ec:1.1.1.359,Carbohydrate metabolism
276,ec:1.1.1.360,Carbohydrate metabolism
277,ec:1.1.1.48,Carbohydrate metabolism
278,ec:1.1.3.9,Carbohydrate metabolism
279,ec:2.4.1.123,Carbohydrate metabolism
280,ec:2.4.1.22,Carbohydrate metabolism
281,ec:2.4.1.67,Carbohydrate metabolism
282,ec:2.4.1.82,Carbohydrate metabolism
283,ec:2.7.1.1,Carbohydrate metabolism
284,ec:2.7.1.101,Carbohydrate metabolism
285,ec:2.7.1.11,Carbohydrate metabolism
286,ec:2.7.1.144,Carbohydrate metabolism
287,ec:2.7.1.178,Carbohydrate metabolism
288,ec:2.7.1.2,Carbohydrate metabolism
289,ec:2.7.1.200,Carbohydrate metabolism
290,ec:2.7.1.207,Carbohydrate metabolism
291,ec:2.7.1.58,Carbohydrate metabolism
292,ec:2.7.1.6,Carbohydrate metabolism
293,ec:2.7.7.10,Carbohydrate metabolism
294,ec:2.7.7.12,Carbohydrate metabolism
295,ec:2.7.7.64,Carbohydrate metabolism
296,ec:2.7.7.9,Carbohydrate metabolism
297,ec:3.1.1.25,Carbohydrate metabolism
298,ec:3.1.3.9,Carbohydrate metabolism
299,ec:3.2.1.10,Carbohydrate metabolism
300,ec:3.2.1.108,Carbohydrate metabolism
301,ec:3.2.1.20,Carbohydrate metabolism
302,ec:3.2.1.22,Carbohydrate metabolism
303,ec:3.2.1.23,Carbohydrate metabolism
304,ec:3.2.1.26,Carbohydrate metabolism
305,ec:3.2.1.85,Carbohydrate metabolism
306,ec:3.5.1.25,Carbohydrate metabolism
307,ec:4.1.2.21,Carbohydrate metabolism
308,ec:4.1.2.40,Carbohydrate metabolism
309,ec:4.1.2.51,Carbohydrate metabolism
310,ec:4.1.2.55,Carbohydrate metabolism
311,ec:4.2.1.140,Carbohydrate metabolism
312,ec:4.2.1.6,Carbohydrate metabolism
